CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	R1	R123
137	COCA	coca	"{""1220"": 17, ""731"": 9, ""653"": 8, ""321"": 2, ""3873"": 1, ""628"": 1, ""848"": 1, ""604"": 1}"	"{""1220"": 23, ""731"": 16, ""653"": 14, ""628"": 4, ""321"": 4, ""862"": 3, ""1496"": 1, ""887"": 1, ""1321"": 1, ""1539"": 1, ""3873"": 1, ""2787"": 1, ""717"": 1, ""651"": 1, ""1287"": 1, ""1051"": 1, ""163"": 1, ""1598"": 1, ""2009"": 1, ""2"": 1, ""1531"": 1, ""848"": 1, ""604"": 1, ""655"": 1, ""1524"": 1}"
1159	FART	pedo	"{""2124"": 7, ""834"": 5, ""404"": 2, ""1303"": 2, ""1182"": 2, ""1463"": 1, ""1548"": 1, ""1524"": 1}"	"{""2124"": 25, ""834"": 7, ""1182"": 6, ""404"": 4, ""1548"": 4, ""1463"": 3, ""1303"": 2, ""1334"": 2, ""27"": 1, ""1289"": 1, ""3096"": 1, ""2467"": 1, ""1292"": 1, ""377"": 1, ""1251"": 1, ""1524"": 1}"
1380	TOOTH	dientes	"{""674"": 10, ""1335"": 3, ""256"": 3, ""1597"": 1, ""1336"": 1, ""3876"": 1, ""1394"": 1, ""635"": 1, ""321"": 1, ""1403"": 1}"	"{""674"": 15, ""1335"": 9, ""3876"": 8, ""256"": 6, ""1783"": 5, ""1821"": 4, ""321"": 4, ""635"": 3, ""1403"": 3, ""1336"": 2, ""2941"": 2, ""1198"": 2, ""1597"": 1, ""1289"": 1, ""1333"": 1, ""139"": 1, ""1495"": 1, ""785"": 1, ""202"": 1, ""1394"": 1, ""1205"": 1}"
724	READ	leer	"{""963"": 19, ""1672"": 5, ""504"": 4, ""1198"": 2, ""1929"": 1, ""3703"": 1, ""1410"": 1, ""1416"": 1, ""1920"": 1, ""1422"": 1}"	"{""963"": 21, ""504"": 9, ""1929"": 6, ""1410"": 6, ""1672"": 5, ""1198"": 2, ""1920"": 2, ""479"": 1, ""2060"": 1, ""584"": 1, ""1536"": 1, ""2941"": 1, ""2578"": 1, ""1650"": 1, ""965"": 1, ""648"": 1, ""3703"": 1, ""2271"": 1, ""653"": 1, ""1416"": 1, ""1227"": 1, ""892"": 1, ""984"": 1, ""1409"": 1, ""1422"": 1, ""1441"": 1}"
353	STRIKE	golpear	"{""1069"": 15, ""1473"": 6, ""1783"": 4, ""1884"": 2, ""1567"": 2, ""722"": 1, ""1560"": 1, ""1447"": 1, ""813"": 1, ""2411"": 1, ""1084"": 1, ""1277"": 1, ""3351"": 1, ""1828"": 1, ""1845"": 1, ""1648"": 1}"	"{""1069"": 17, ""1473"": 10, ""1567"": 6, ""1783"": 5, ""2411"": 3, ""680"": 3, ""722"": 2, ""1884"": 2, ""202"": 2, ""1084"": 2, ""1277"": 2, ""946"": 2, ""3160"": 1, ""3110"": 1, ""1414"": 1, ""2630"": 1, ""1256"": 1, ""1560"": 1, ""1281"": 1, ""1252"": 1, ""3649"": 1, ""390"": 1, ""1840"": 1, ""761"": 1, ""1447"": 1, ""82"": 1, ""785"": 1, ""813"": 1, ""1481"": 1, ""1775"": 1, ""1295"": 1, ""3351"": 1, ""933"": 1, ""1828"": 1, ""1845"": 1, ""1182"": 1, ""1079"": 1, ""908"": 1, ""1648"": 1}"
175	BLOW (OF WIND)	soplar	"{""27"": 13, ""960"": 12, ""1025"": 5, ""3083"": 4, ""674"": 2, ""2407"": 2, ""1273"": 2, ""127"": 1, ""3135"": 1, ""1321"": 1, ""1458"": 1, ""777"": 1, ""785"": 1, ""211"": 1, ""636"": 1, ""1503"": 1, ""1095"": 1, ""604"": 1, ""1441"": 1}"	"{""960"": 27, ""27"": 18, ""2407"": 8, ""3083"": 7, ""1025"": 7, ""674"": 5, ""127"": 4, ""1321"": 3, ""221"": 3, ""1273"": 3, ""777"": 2, ""785"": 2, ""478"": 2, ""1407"": 2, ""1182"": 2, ""1547"": 2, ""604"": 2, ""3135"": 1, ""740"": 1, ""1286"": 1, ""256"": 1, ""1458"": 1, ""214"": 1, ""194"": 1, ""202"": 1, ""211"": 1, ""778"": 1, ""636"": 1, ""765"": 1, ""1276"": 1, ""2"": 1, ""1503"": 1, ""1095"": 1, ""1856"": 1, ""1441"": 1}"
1856	SOFT	blando	"{""1856"": 14, ""1884"": 12, ""1601"": 2, ""640"": 1, ""1335"": 1, ""3873"": 1, ""1223"": 1, ""834"": 1, ""1698"": 1, ""676"": 1, ""1691"": 1, ""1564"": 1, ""1282"": 1, ""1489"": 1, ""1222"": 1, ""1569"": 1}"	"{""1856"": 19, ""1884"": 12, ""1601"": 6, ""1691"": 4, ""105"": 3, ""1489"": 3, ""1850"": 2, ""640"": 2, ""1335"": 2, ""785"": 2, ""273"": 2, ""1597"": 1, ""717"": 1, ""3873"": 1, ""1223"": 1, ""834"": 1, ""1698"": 1, ""676"": 1, ""1564"": 1, ""178"": 1, ""1292"": 1, ""1282"": 1, ""184"": 1, ""1403"": 1, ""1368"": 1, ""1222"": 1, ""683"": 1, ""1569"": 1, ""3099"": 1}"
1228	EARTH (SOIL)	tierra	"{""1228"": 6, ""948"": 4, ""1216"": 3, ""640"": 2, ""965"": 2, ""27"": 1, ""212"": 1, ""1252"": 1, ""1202"": 1, ""1300"": 1, ""2"": 1, ""1343"": 1}"	"{""948"": 8, ""1228"": 8, ""640"": 6, ""965"": 5, ""653"": 1, ""210"": 5, ""212"": 4, ""27"": 3, ""221"": 3, ""586"": 3, ""1216"": 3, ""2"": 3, ""1230"": 3, ""1219"": 2, ""1300"": 2, ""1921"": 1, ""906"": 1, ""671"": 1, ""1252"": 1, ""1732"": 1, ""253"": 1, ""3083"": 1, ""1202"": 1, ""1726"": 1, ""2124"": 1, ""930"": 1, ""748"": 1, ""714"": 1, ""1343"": 1, ""25"": 1, ""1425"": 1}"
2030	DRAG	arrastrar	"{""700"": 12, ""1455"": 1, ""1228"": 1, ""1257"": 1, ""640"": 1, ""1443"": 1, ""2620"": 1, ""134"": 1, ""1452"": 1, ""214"": 1, ""1548"": 1, ""202"": 1, ""765"": 1, ""1210"": 1, ""1767"": 1, ""3654"": 1, ""692"": 1, ""730"": 1}"	"{""700"": 3, ""1455"": 2, ""202"": 6, ""765"": 5, ""1210"": 4, ""1452"": 3, ""2620"": 2, ""1519"": 2, ""1228"": 1, ""1542"": 1, ""1257"": 1, ""292"": 1, ""640"": 1, ""1673"": 1, ""1443"": 1, ""1732"": 1, ""134"": 1, ""1783"": 1, ""214"": 1, ""1548"": 1, ""1803"": 1, ""1477"": 1, ""1735"": 1, ""1767"": 1, ""1182"": 1, ""3654"": 1, ""1448"": 1, ""25"": 1, ""1230"": 1, ""692"": 1, ""730"": 1}"
859	STOVE	estufa	"{""221"": 4, ""1471"": 3, ""10"": 3, ""603"": 1, ""740"": 1, ""854"": 1, ""1341"": 1, ""1286"": 1, ""1365"": 1, ""1287"": 1, ""806"": 1}"	"{""1471"": 21, ""221"": 20, ""10"": 10, ""1287"": 6, ""1286"": 4, ""1252"": 3, ""1365"": 3, ""603"": 2, ""194"": 2, ""740"": 1, ""854"": 1, ""1341"": 1, ""952"": 1, ""1336"": 1, ""185"": 1, ""778"": 1, ""806"": 1, ""2244"": 1, ""163"": 1}"
