CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	R1	R123
2755	BUSY	busy	"{""665"": 21, ""984"": 10, ""1480"": 3, ""1861"": 2, ""1429"": 2, ""1495"": 2, ""210"": 2, ""2301"": 2, ""2860"": 2, ""1676"": 1, ""1826"": 1, ""3639"": 1, ""1194"": 1, ""1663"": 1, ""905"": 1, ""2869"": 1, ""2023"": 1, ""1225"": 1, ""1631"": 1, ""3327"": 1, ""88"": 1, ""754"": 1, ""1697"": 1, ""673"": 1, ""1362"": 1, ""2571"": 1, ""892"": 1, ""1757"": 1, ""1283"": 1, ""1311"": 1}"	"{""665"": 34, ""984"": 24, ""1480"": 9, ""1861"": 5, ""1676"": 5, ""1495"": 5, ""210"": 5, ""1379"": 5, ""892"": 5, ""1757"": 5, ""1225"": 3, ""1631"": 1, ""1429"": 3, ""754"": 3, ""2931"": 2, ""695"": 2, ""2406"": 2, ""2301"": 2, ""2860"": 2, ""673"": 2, ""1929"": 2, ""1826"": 1, ""3639"": 1, ""1194"": 1, ""1663"": 1, ""806"": 1, ""905"": 1, ""2869"": 1, ""3396"": 1, ""2755"": 1, ""1323"": 1, ""1299"": 1, ""2983"": 1, ""2023"": 1, ""2517"": 1, ""2316"": 1, ""3327"": 1, ""88"": 1, ""2905"": 1, ""923"": 1, ""1554"": 1, ""1697"": 1, ""1559"": 1, ""1216"": 1, ""1382"": 1, ""1269"": 1, ""2430"": 1, ""683"": 1, ""1044"": 1, ""156"": 1, ""667"": 1, ""1519"": 1, ""1362"": 1, ""2571"": 1, ""3053"": 1, ""1283"": 1, ""900"": 1, ""1311"": 1}"
3460	BEACH	beach	"{""671"": 47, ""1343"": 10, ""1845"": 5, ""645"": 5, ""1474"": 4, ""113"": 3, ""1439"": 2, ""948"": 2, ""2481"": 1, ""1475"": 1, ""2194"": 1, ""1183"": 1, ""1413"": 1, ""3132"": 1, ""1021"": 1, ""1232"": 1, ""978"": 1, ""957"": 1}"	"{""671"": 82, ""1343"": 34, ""645"": 21, ""948"": 19, ""1845"": 13, ""1474"": 12, ""978"": 2, ""3132"": 6, ""113"": 5, ""3105"": 5, ""1413"": 3, ""1342"": 3, ""1439"": 3, ""1021"": 3, ""957"": 3, ""2481"": 2, ""1844"": 2, ""1525"": 2, ""604"": 2, ""1183"": 2, ""1274"": 2, ""2562"": 2, ""1232"": 2, ""937"": 1, ""806"": 1, ""1475"": 1, ""1225"": 1, ""2194"": 1, ""2034"": 1, ""612"": 1, ""1286"": 1, ""622"": 1, ""624"": 1, ""961"": 1, ""778"": 1}"
2223	BE ANGRY	annoyed	"{""1826"": 16, ""1899"": 7, ""82"": 3, ""1262"": 3, ""1367"": 3, ""1292"": 1, ""905"": 1, ""2099"": 1, ""1173"": 1, ""1441"": 1, ""1495"": 1, ""1304"": 1, ""1554"": 1, ""683"": 1, ""699"": 1, ""1518"": 1}"	"{""1826"": 36, ""1899"": 10, ""1367"": 5, ""683"": 4, ""156"": 4, ""82"": 3, ""1262"": 3, ""699"": 3, ""2099"": 1, ""2223"": 2, ""1752"": 1, ""377"": 2, ""3974"": 2, ""1292"": 1, ""1403"": 1, ""905"": 1, ""2869"": 1, ""588"": 1, ""1173"": 1, ""194"": 1, ""1217"": 1, ""1079"": 1, ""2573"": 1, ""221"": 1, ""1441"": 1, ""1325"": 1, ""1495"": 1, ""1286"": 1, ""2411"": 1, ""1200"": 1, ""1304"": 1, ""1554"": 1, ""2432"": 1, ""2301"": 1, ""1509"": 1, ""1216"": 1, ""2830"": 1, ""661"": 1, ""1645"": 1, ""1640"": 1, ""701"": 1, ""1518"": 1, ""709"": 1, ""1038"": 1, ""2571"": 1, ""1757"": 1, ""1548"": 1, ""984"": 1, ""715"": 1}"
2602	FUNNEL	funnel	"{""2408"": 17, ""948"": 7, ""2956"": 5, ""1484"": 4, ""1365"": 3, ""1489"": 2, ""1100"": 2, ""476"": 2, ""58"": 2, ""843"": 2, ""2532"": 2, ""1639"": 1, ""731"": 1, ""1321"": 1, ""287"": 1, ""2622"": 1, ""2006"": 1, ""1667"": 1, ""2244"": 1, ""1124"": 1, ""1487"": 1, ""156"": 1, ""926"": 1, ""1395"": 1, ""1065"": 1, ""1077"": 1, ""1524"": 1, ""1424"": 1}"	"{""2408"": 27, ""58"": 14, ""1484"": 14, ""948"": 10, ""1487"": 7, ""2956"": 7, ""2532"": 6, ""1321"": 5, ""1100"": 1, ""1489"": 4, ""287"": 4, ""1365"": 4, ""843"": 3, ""862"": 3, ""1065"": 3, ""1639"": 2, ""1111"": 2, ""2423"": 2, ""1299"": 2, ""476"": 2, ""1594"": 2, ""1667"": 2, ""1267"": 2, ""2344"": 2, ""654"": 2, ""740"": 2, ""183"": 1, ""1845"": 1, ""2548"": 1, ""731"": 1, ""837"": 1, ""972"": 1, ""1264"": 1, ""1465"": 1, ""1567"": 1, ""1401"": 1, ""1463"": 1, ""2622"": 1, ""1107"": 1, ""2006"": 1, ""256"": 1, ""1462"": 1, ""43"": 1, ""144"": 1, ""2244"": 1, ""635"": 1, ""1124"": 1, ""156"": 1, ""926"": 1, ""1395"": 1, ""1519"": 1, ""671"": 1, ""132"": 1, ""1388"": 1, ""1088"": 1, ""1488"": 1, ""900"": 1, ""3288"": 1, ""1077"": 1, ""1982"": 1, ""1524"": 1, ""1424"": 1}"
1846	RULE	rule	"{""1062"": 24, ""1508"": 7, ""3405"": 7, ""1128"": 5, ""1506"": 4, ""963"": 2, ""680"": 2, ""382"": 2, ""1048"": 2, ""1493"": 2, ""1781"": 2, ""2224"": 1, ""588"": 1, ""728"": 1, ""1085"": 1, ""43"": 1, ""1209"": 1, ""621"": 1, ""626"": 1, ""1635"": 1, ""1107"": 1, ""1306"": 1, ""1324"": 1, ""778"": 1, ""1404"": 1, ""2571"": 1, ""954"": 1, ""1599"": 1}"	"{""1062"": 42, ""1508"": 16, ""3405"": 15, ""1506"": 12, ""1128"": 9, ""680"": 7, ""382"": 5, ""1085"": 4, ""1781"": 4, ""963"": 3, ""2467"": 3, ""1048"": 3, ""1635"": 3, ""1493"": 3, ""1306"": 3, ""1404"": 3, ""1637"": 2, ""2930"": 2, ""588"": 2, ""43"": 2, ""504"": 2, ""789"": 2, ""1324"": 2, ""2224"": 1, ""1349"": 1, ""1998"": 1, ""1943"": 1, ""1775"": 1, ""813"": 1, ""728"": 1, ""1301"": 1, ""815"": 1, ""1209"": 1, ""621"": 1, ""861"": 1, ""1304"": 1, ""626"": 1, ""2537"": 1, ""2301"": 1, ""1559"": 1, ""1107"": 1, ""1741"": 1, ""1036"": 1, ""648"": 1, ""2526"": 1, ""390"": 1, ""778"": 1, ""1929"": 1, ""1038"": 1, ""2571"": 1, ""2754"": 1, ""954"": 1, ""1599"": 1, ""965"": 1}"
1847	SICK	ill	"{""1847"": 66, ""1579"": 4, ""1986"": 3, ""1278"": 2, ""1663"": 1, ""1287"": 1, ""1364"": 1, ""616"": 1, ""3104"": 1, ""1757"": 1, ""954"": 1}"	"{""1847"": 82, ""1986"": 1, ""1278"": 8, ""1292"": 7, ""1663"": 7, ""1534"": 7, ""616"": 7, ""1287"": 6, ""1364"": 6, ""1757"": 5, ""1579"": 5, ""699"": 4, ""2483"": 3, ""879"": 3, ""910"": 3, ""954"": 3, ""597"": 2, ""2411"": 2, ""1372"": 2, ""1229"": 2, ""1783"": 2, ""125"": 2, ""1887"": 1, ""499"": 1, ""1326"": 1, ""1688"": 1, ""2573"": 1, ""1035"": 1, ""153"": 1, ""1425"": 1, ""2406"": 1, ""1286"": 1, ""1972"": 1, ""1417"": 1, ""1216"": 1, ""1104"": 1, ""1674"": 1, ""1314"": 1, ""168"": 1, ""292"": 1, ""1776"": 1, ""51"": 1, ""1668"": 1, ""1875"": 1, ""4035"": 1, ""3104"": 1, ""1882"": 1, ""2506"": 1, ""1601"": 1, ""45"": 1}"
2099	CHILD	child	"{""1289"": 4, ""1972"": 13, ""1366"": 4, ""2099"": 4, ""1216"": 4, ""1620"": 4, ""3635"": 3, ""1207"": 2, ""1246"": 2, ""1953"": 1, ""2805"": 1, ""1839"": 1, ""1217"": 1, ""1646"": 1, ""771"": 1, ""683"": 1, ""2524"": 1, ""1018"": 1, ""1093"": 1, ""2090"": 1, ""2900"": 1, ""673"": 1, ""2230"": 1}"	"{""1289"": 12, ""1972"": 24, ""1366"": 13, ""1207"": 2, ""1646"": 9, ""2099"": 7, ""1216"": 7, ""1246"": 5, ""1620"": 6, ""3635"": 5, ""1413"": 5, ""1357"": 4, ""90"": 4, ""1117"": 4, ""923"": 4, ""1801"": 3, ""673"": 3, ""717"": 3, ""1262"": 2, ""1839"": 2, ""1217"": 2, ""1579"": 2, ""1304"": 2, ""2090"": 1, ""2900"": 2, ""2403"": 2, ""1953"": 1, ""2805"": 1, ""963"": 1, ""158"": 1, ""2946"": 1, ""490"": 1, ""194"": 1, ""739"": 1, ""1507"": 1, ""1277"": 1, ""2941"": 1, ""771"": 1, ""683"": 1, ""2651"": 1, ""2524"": 1, ""2958"": 1, ""210"": 1, ""2301"": 1, ""3389"": 1, ""1018"": 1, ""1093"": 1, ""1182"": 1, ""684"": 1, ""505"": 1, ""654"": 1, ""1645"": 1, ""2060"": 1, ""1232"": 1, ""1601"": 1, ""2230"": 1, ""420"": 1, ""1213"": 1}"
270	JUG	jug	"{""948"": 14, ""635"": 13, ""1321"": 9, ""1530"": 7, ""1524"": 5, ""1465"": 4, ""1499"": 3, ""120"": 3, ""1254"": 2, ""3746"": 2, ""2548"": 1, ""1639"": 1, ""175"": 1, ""963"": 1, ""1402"": 1, ""2409"": 1, ""476"": 1, ""1401"": 1, ""1247"": 1, ""604"": 1, ""1256"": 1, ""928"": 1, ""1462"": 1, ""58"": 1}"	"{""948"": 26, ""635"": 20, ""1321"": 10, ""1499"": 10, ""1465"": 9, ""1530"": 9, ""1524"": 9, ""1401"": 5, ""604"": 5, ""1254"": 5, ""120"": 5, ""1639"": 4, ""1256"": 4, ""1462"": 1, ""1402"": 1, ""2409"": 3, ""1399"": 3, ""58"": 3, ""1487"": 3, ""1395"": 3, ""2548"": 2, ""175"": 2, ""476"": 2, ""1247"": 1, ""928"": 2, ""842"": 2, ""131"": 2, ""1373"": 2, ""3746"": 2, ""1320"": 1, ""1202"": 1, ""963"": 1, ""588"": 1, ""2052"": 1, ""700"": 1, ""1299"": 1, ""1613"": 1, ""1300"": 1, ""1879"": 1, ""1560"": 1, ""695"": 1, ""411"": 1, ""605"": 1, ""1495"": 1, ""1190"": 1, ""1210"": 1, ""2486"": 1, ""3729"": 1, ""3248"": 1, ""2244"": 1, ""674"": 1, ""1269"": 1, ""1229"": 1, ""2627"": 1, ""2344"": 1, ""654"": 1, ""1281"": 1, ""3952"": 1, ""1519"": 1, ""3033"": 1, ""2562"": 1, ""1543"": 1, ""1362"": 1, ""965"": 1}"
305	GRANDPARENTS	grandparent	"{""1229"": 24, ""923"": 9, ""194"": 3, ""2112"": 2, ""1217"": 2, ""1216"": 2, ""1669"": 1, ""1625"": 1, ""1383"": 1, ""1496"": 1, ""153"": 1, ""1252"": 1, ""1644"": 1, ""1498"": 1, ""930"": 1}"	"{""1229"": 38, ""923"": 15, ""194"": 12, ""1625"": 5, ""2112"": 5, ""153"": 2, ""1217"": 2, ""1383"": 4, ""1496"": 4, ""1216"": 4, ""1669"": 3, ""2406"": 3, ""874"": 2, ""2099"": 1, ""1617"": 2, ""3299"": 2, ""161"": 2, ""698"": 2, ""962"": 2, ""146"": 1, ""1643"": 1, ""996"": 1, ""910"": 1, ""1406"": 1, ""686"": 1, ""201"": 1, ""3632"": 1, ""1954"": 1, ""1898"": 1, ""1035"": 1, ""1202"": 1, ""2941"": 1, ""1884"": 1, ""1897"": 1, ""1252"": 1, ""928"": 1, ""2524"": 1, ""1554"": 1, ""1656"": 1, ""683"": 1, ""1644"": 1, ""3882"": 1, ""763"": 1, ""92"": 1, ""717"": 1, ""1859"": 1, ""1498"": 1, ""1327"": 1, ""930"": 1, ""935"": 1, ""2294"": 1, ""380"": 1, ""1207"": 1}"
899	PRESIDENT	president	"{""1508"": 2, ""1554"": 2, ""163"": 1, ""1683"": 1, ""3357"": 1, ""301"": 1, ""1300"": 1, ""153"": 1, ""1256"": 1, ""3470"": 1, ""3001"": 1, ""2982"": 1, ""338"": 1, ""764"": 1}"	"{""1554"": 1, ""2526"": 6, ""1683"": 5, ""240"": 4, ""815"": 4, ""1256"": 4, ""301"": 3, ""1285"": 3, ""1508"": 3, ""3470"": 3, ""3001"": 3, ""764"": 3, ""2930"": 2, ""1300"": 2, ""3405"": 2, ""2955"": 2, ""2310"": 2, ""1637"": 1, ""1081"": 1, ""163"": 1, ""905"": 1, ""3357"": 1, ""1476"": 1, ""1569"": 1, ""1763"": 1, ""1905"": 1, ""1419"": 1, ""153"": 1, ""88"": 1, ""1120"": 1, ""3073"": 1, ""486"": 1, ""2430"": 1, ""3361"": 1, ""2982"": 1, ""1306"": 1, ""338"": 1, ""1019"": 1, ""1846"": 1, ""673"": 1, ""1451"": 1, ""1115"": 1, ""1442"": 1, ""785"": 1, ""1160"": 1, ""2482"": 1, ""1753"": 1, ""3665"": 1, ""935"": 1, ""1335"": 1, ""150"": 1}"
