CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	R1	R123
616	HOSPITAL	hospital	"{""1847"": 4, ""1663"": 10, ""597"": 6, ""1104"": 4, ""1986"": 2, ""4013"": 2, ""910"": 2, ""2947"": 2, ""1372"": 2, ""3375"": 2, ""1335"": 2, ""1111"": 1, ""3876"": 1, ""326"": 1, ""1364"": 1, ""1897"": 1, ""2406"": 1, ""2411"": 1, ""1030"": 1, ""987"": 1, ""3101"": 1}"	"{""1847"": 5, ""597"": 30, ""1104"": 21, ""1663"": 13, ""910"": 7, ""3375"": 7, ""1986"": 2, ""1364"": 5, ""4013"": 4, ""1372"": 4, ""326"": 3, ""2805"": 2, ""3396"": 2, ""1217"": 2, ""1897"": 2, ""2947"": 2, ""1559"": 2, ""1450"": 2, ""2124"": 2, ""1335"": 2, ""1292"": 1, ""1202"": 1, ""1111"": 1, ""2099"": 1, ""704"": 1, ""499"": 1, ""1810"": 1, ""3876"": 1, ""1494"": 1, ""227"": 1, ""1425"": 1, ""2406"": 1, ""1092"": 1, ""2411"": 1, ""3468"": 1, ""2553"": 1, ""1030"": 1, ""1229"": 1, ""3121"": 1, ""1783"": 1, ""1888"": 1, ""3854"": 1, ""1668"": 1, ""987"": 1, ""1090"": 1, ""3101"": 1, ""2571"": 1, ""1391"": 1, ""984"": 1}"
1540	EYELASH	eyelashes	"{""1248"": 7, ""1203"": 13, ""1655"": 1, ""2410"": 3, ""1560"": 2, ""1646"": 2, ""1898"": 2, ""1793"": 1, ""163"": 1, ""706"": 1, ""3069"": 1, ""2900"": 1, ""3977"": 1, ""763"": 1, ""1246"": 1, ""1856"": 1, ""1295"": 1, ""1651"": 1}"	"{""1203"": 31, ""1248"": 9, ""1655"": 1, ""163"": 10, ""1560"": 7, ""2410"": 1, ""1793"": 6, ""3069"": 5, ""706"": 4, ""1646"": 3, ""1040"": 3, ""1427"": 2, ""1173"": 1, ""1898"": 2, ""1856"": 2, ""1651"": 2, ""1244"": 2, ""962"": 1, ""837"": 1, ""2409"": 1, ""1271"": 1, ""17"": 1, ""1201"": 1, ""1551"": 1, ""2648"": 1, ""1972"": 1, ""1233"": 1, ""1221"": 1, ""2900"": 1, ""753"": 1, ""1449"": 1, ""3977"": 1, ""763"": 1, ""1246"": 1, ""1295"": 1, ""2308"": 1, ""738"": 1, ""892"": 1, ""1784"": 1}"
897	SWALLOW	swallow	"{""937"": 24, ""1440"": 7, ""1401"": 5, ""1346"": 5, ""2283"": 4, ""1336"": 3, ""1884"": 3, ""674"": 3, ""256"": 2, ""2562"": 2, ""1505"": 2, ""948"": 2, ""2277"": 2, ""3025"": 1, ""1791"": 1, ""604"": 1, ""139"": 1, ""1864"": 1, ""1030"": 1, ""539"": 1, ""1853"": 1, ""3064"": 1, ""1503"": 1, ""1847"": 1, ""1421"": 1, ""1342"": 1, ""97"": 1}"	"{""937"": 55, ""1346"": 16, ""1401"": 15, ""256"": 14, ""1440"": 12, ""1336"": 9, ""1503"": 8, ""674"": 6, ""2283"": 6, ""1205"": 5, ""1441"": 4, ""948"": 4, ""139"": 3, ""1884"": 3, ""2562"": 3, ""2277"": 3, ""3025"": 2, ""321"": 2, ""129"": 2, ""1853"": 1, ""1201"": 2, ""1505"": 2, ""1342"": 2, ""21"": 2, ""1403"": 1, ""163"": 1, ""1791"": 1, ""1273"": 1, ""326"": 1, ""1511"": 1, ""1299"": 1, ""584"": 1, ""1551"": 1, ""604"": 1, ""1864"": 1, ""169"": 1, ""478"": 1, ""58"": 1, ""1246"": 1, ""1372"": 1, ""1030"": 1, ""1333"": 1, ""3975"": 1, ""539"": 1, ""1269"": 1, ""3915"": 1, ""156"": 1, ""707"": 1, ""3064"": 1, ""1474"": 1, ""1847"": 1, ""1421"": 1, ""1101"": 1, ""1220"": 1, ""2060"": 1, ""848"": 1, ""97"": 1, ""2466"": 1, ""1726"": 1}"
3727	CELERY	celery	"{""1425"": 22, ""924"": 20, ""2628"": 8, ""1295"": 4, ""1274"": 3, ""1547"": 3, ""3085"": 2, ""1364"": 2, ""832"": 1, ""1100"": 1, ""1336"": 1, ""3729"": 1, ""630"": 1, ""1122"": 1, ""714"": 1, ""1753"": 1, ""1335"": 1}"	"{""1425"": 54, ""924"": 37, ""2628"": 14, ""1364"": 2, ""3085"": 7, ""1547"": 1, ""1295"": 6, ""948"": 6, ""1274"": 5, ""243"": 4, ""3545"": 3, ""887"": 2, ""1100"": 2, ""1336"": 2, ""3729"": 2, ""2366"": 2, ""714"": 2, ""832"": 1, ""905"": 1, ""934"": 1, ""1569"": 1, ""321"": 1, ""155"": 1, ""1813"": 1, ""1833"": 1, ""2507"": 1, ""256"": 1, ""1507"": 1, ""1771"": 1, ""628"": 1, ""630"": 1, ""1203"": 1, ""633"": 1, ""1385"": 1, ""1122"": 1, ""2124"": 1, ""362"": 1, ""711"": 1, ""1753"": 1, ""2629"": 1, ""1335"": 1}"
1773	GRAVE	grave	"{""910"": 21, ""1625"": 8, ""857"": 7, ""3284"": 1, ""1719"": 3, ""153"": 2, ""1667"": 2, ""699"": 2, ""1773"": 2, ""736"": 2, ""3336"": 1, ""2011"": 1, ""767"": 1, ""1810"": 1, ""1494"": 1, ""742"": 1, ""749"": 1, ""1293"": 1, ""1210"": 1, ""1121"": 1, ""419"": 1, ""48"": 1, ""69"": 1}"	"{""910"": 33, ""1625"": 16, ""3284"": 4, ""857"": 12, ""3336"": 4, ""1773"": 9, ""699"": 7, ""1719"": 5, ""1667"": 5, ""736"": 5, ""1292"": 4, ""1810"": 4, ""153"": 1, ""2159"": 3, ""1480"": 2, ""2011"": 2, ""767"": 2, ""1418"": 2, ""25"": 2, ""742"": 2, ""1175"": 2, ""1496"": 2, ""1285"": 2, ""419"": 2, ""1228"": 1, ""1510"": 1, ""1489"": 1, ""2998"": 1, ""3466"": 1, ""1494"": 1, ""749"": 1, ""1293"": 1, ""239"": 1, ""606"": 1, ""1277"": 1, ""1884"": 1, ""1256"": 1, ""1364"": 1, ""1210"": 1, ""1847"": 1, ""3299"": 1, ""3667"": 1, ""2150"": 1, ""637"": 1, ""1955"": 1, ""406"": 1, ""809"": 1, ""1338"": 1, ""658"": 1, ""3376"": 1, ""668"": 1, ""3854"": 1, ""1121"": 1, ""193"": 1, ""48"": 1, ""69"": 1, ""1668"": 1, ""732"": 1}"
592	PISS	pee	"{""1142"": 18, ""592"": 2, ""219"": 11, ""1424"": 6, ""1425"": 2, ""1222"": 2, ""1366"": 1, ""1583"": 1, ""2009"": 1, ""2917"": 1, ""906"": 1, ""948"": 1}"	"{""1142"": 31, ""1424"": 23, ""219"": 22, ""592"": 2, ""1222"": 6, ""948"": 5, ""2009"": 3, ""1425"": 3, ""2025"": 3, ""1612"": 2, ""2888"": 2, ""1726"": 2, ""2892"": 1, ""1289"": 1, ""1780"": 1, ""946"": 1, ""1366"": 1, ""1583"": 1, ""1683"": 1, ""476"": 1, ""676"": 1, ""675"": 1, ""2316"": 1, ""1976"": 1, ""1646"": 1, ""1566"": 1, ""1355"": 1, ""58"": 1, ""3120"": 1, ""2339"": 1, ""2917"": 1, ""191"": 1, ""809"": 1, ""281"": 1, ""1687"": 1, ""74"": 1, ""1095"": 1, ""1395"": 1, ""1274"": 1, ""1409"": 1, ""1585"": 1, ""2124"": 1, ""42"": 1, ""365"": 1, ""947"": 1, ""1373"": 1, ""892"": 1, ""906"": 1, ""1443"": 1, ""943"": 1, ""1340"": 1, ""420"": 1}"
984	WORK (LABOUR)	work	"{""1413"": 22, ""1884"": 8, ""1929"": 5, ""615"": 3, ""1559"": 3, ""2931"": 1, ""1225"": 1, ""481"": 1, ""733"": 1, ""2406"": 1, ""1477"": 1, ""1030"": 1, ""1356"": 1, ""2430"": 1, ""1107"": 1, ""1783"": 1, ""723"": 1, ""746"": 1, ""812"": 1, ""892"": 1, ""1757"": 1, ""1469"": 1}"	"{""1884"": 29, ""1413"": 27, ""1559"": 8, ""2430"": 7, ""1929"": 7, ""615"": 4, ""2931"": 3, ""1225"": 3, ""718"": 3, ""673"": 3, ""812"": 3, ""892"": 3, ""963"": 2, ""3471"": 1, ""2406"": 2, ""971"": 2, ""1122"": 2, ""709"": 2, ""1757"": 2, ""1469"": 2, ""1086"": 1, ""1461"": 1, ""1775"": 1, ""584"": 1, ""1418"": 1, ""481"": 1, ""2978"": 1, ""379"": 1, ""733"": 1, ""1481"": 1, ""1607"": 1, ""1285"": 1, ""2981"": 1, ""1477"": 1, ""477"": 1, ""1564"": 1, ""210"": 1, ""1203"": 1, ""3667"": 1, ""1554"": 1, ""1030"": 1, ""1356"": 1, ""1128"": 1, ""1107"": 1, ""1783"": 1, ""723"": 1, ""1657"": 1, ""168"": 1, ""1019"": 1, ""746"": 1, ""851"": 1, ""1112"": 1, ""3974"": 1, ""1599"": 1}"
1381	SHOE	shoes	"{""1301"": 22, ""1522"": 15, ""585"": 7, ""156"": 4, ""629"": 3, ""4034"": 3, ""2410"": 2, ""976"": 2, ""984"": 2, ""2409"": 1, ""1429"": 1, ""760"": 1, ""600"": 1, ""745"": 1, ""3977"": 1, ""746"": 1, ""1342"": 1, ""1488"": 1, ""318"": 1, ""1199"": 1, ""962"": 1}"	"{""1301"": 2, ""1522"": 2, ""585"": 14, ""4034"": 12, ""629"": 9, ""156"": 6, ""1443"": 5, ""2410"": 4, ""2666"": 3, ""976"": 3, ""984"": 3, ""1426"": 2, ""615"": 2, ""2090"": 2, ""1231"": 2, ""1888"": 2, ""746"": 2, ""1917"": 2, ""962"": 1, ""1017"": 1, ""2980"": 1, ""2468"": 1, ""832"": 1, ""163"": 1, ""837"": 1, ""2409"": 1, ""1869"": 1, ""3357"": 1, ""1895"": 1, ""1613"": 1, ""2997"": 1, ""474"": 1, ""2316"": 1, ""1429"": 1, ""695"": 1, ""2411"": 1, ""760"": 1, ""2471"": 1, ""1202"": 1, ""1117"": 1, ""600"": 1, ""673"": 1, ""745"": 1, ""3977"": 1, ""752"": 1, ""362"": 1, ""1342"": 1, ""717"": 1, ""1488"": 1, ""318"": 1, ""3665"": 1, ""575"": 1, ""1784"": 1, ""1232"": 1, ""1726"": 1, ""1199"": 1, ""1424"": 1}"
891	TIDE	tide	"{""645"": 19, ""948"": 12, ""1474"": 11, ""978"": 5, ""1313"": 6, ""3460"": 4, ""1265"": 4, ""827"": 3, ""2988"": 1, ""658"": 1, ""367"": 1, ""113"": 1, ""891"": 1, ""892"": 1, ""1588"": 1, ""3174"": 1, ""1243"": 1}"	"{""645"": 40, ""948"": 30, ""1313"": 23, ""978"": 15, ""1474"": 16, ""3460"": 12, ""1265"": 10, ""721"": 5, ""2003"": 4, ""156"": 3, ""827"": 3, ""1453"": 3, ""1264"": 2, ""3469"": 2, ""892"": 2, ""1588"": 2, ""258"": 1, ""2483"": 1, ""2935"": 1, ""1810"": 1, ""3427"": 1, ""1425"": 1, ""1448"": 1, ""1460"": 1, ""350"": 1, ""1267"": 1, ""2627"": 1, ""2988"": 1, ""961"": 1, ""1413"": 1, ""658"": 1, ""367"": 1, ""1091"": 1, ""671"": 1, ""113"": 1, ""947"": 1, ""3132"": 1, ""891"": 1, ""1757"": 1, ""3174"": 1, ""1243"": 1}"
481	DISH	dish	"{""480"": 27, ""256"": 10, ""227"": 6, ""1453"": 5, ""1833"": 4, ""1378"": 4, ""1526"": 3, ""3648"": 3, ""3640"": 2, ""1335"": 2, ""837"": 1, ""1530"": 1, ""680"": 1, ""588"": 1, ""1245"": 1, ""1593"": 1, ""1302"": 1, ""1447"": 1, ""1286"": 1, ""1107"": 1, ""1127"": 1, ""160"": 1, ""2708"": 1, ""1788"": 1, ""948"": 1}"	"{""480"": 48, ""256"": 26, ""1530"": 13, ""227"": 13, ""1378"": 12, ""3640"": 11, ""1453"": 7, ""1833"": 6, ""3648"": 5, ""1335"": 5, ""1336"": 4, ""1302"": 4, ""1526"": 4, ""704"": 3, ""476"": 3, ""2708"": 3, ""1788"": 1, ""1245"": 2, ""1616"": 2, ""1593"": 2, ""1813"": 2, ""1447"": 2, ""1286"": 2, ""271"": 2, ""1775"": 2, ""837"": 1, ""680"": 1, ""588"": 1, ""1100"": 1, ""1007"": 1, ""1230"": 1, ""481"": 1, ""2009"": 1, ""634"": 1, ""2244"": 1, ""1107"": 1, ""31"": 1, ""1395"": 1, ""1519"": 1, ""1127"": 1, ""160"": 1, ""682"": 1, ""1088"": 1, ""788"": 1, ""1547"": 1, ""1456"": 1, ""1021"": 1, ""2629"": 1, ""948"": 1}"
1340	WITH	with	"{""2482"": 19, ""1107"": 10, ""1478"": 10, ""1213"": 8, ""2469"": 2, ""1460"": 2, ""1542"": 1, ""1685"": 1, ""1577"": 1, ""1816"": 1, ""689"": 1, ""1046"": 1, ""695"": 1, ""773"": 1, ""1223"": 1, ""2474"": 1, ""1448"": 1, ""169"": 1, ""1198"": 1, ""1133"": 1, ""2301"": 1, ""2090"": 1, ""2917"": 1, ""2310"": 1}"	"{""2482"": 33, ""1107"": 16, ""1478"": 16, ""1213"": 13, ""2301"": 10, ""1460"": 2, ""1448"": 5, ""1542"": 4, ""1577"": 4, ""1816"": 4, ""923"": 4, ""1888"": 1, ""2469"": 2, ""1046"": 2, ""194"": 2, ""773"": 2, ""169"": 2, ""999"": 2, ""2090"": 2, ""1354"": 2, ""2310"": 2, ""2882"": 1, ""1685"": 1, ""98"": 1, ""1579"": 1, ""689"": 1, ""1569"": 1, ""2099"": 1, ""1446"": 1, ""2983"": 1, ""1325"": 1, ""693"": 1, ""695"": 1, ""2941"": 1, ""1223"": 1, ""2474"": 1, ""136"": 1, ""1743"": 1, ""1198"": 1, ""1133"": 1, ""2917"": 1, ""1852"": 1, ""789"": 1, ""683"": 1, ""2982"": 1, ""132"": 1, ""884"": 1, ""2422"": 1, ""1236"": 1, ""1235"": 1, ""824"": 1, ""2907"": 1}"
2896	CAUSE TO (LET)	let	"{""1003"": 2, ""695"": 13, ""2301"": 5, ""1326"": 4, ""1447"": 4, ""1579"": 3, ""690"": 1, ""1633"": 1, ""2316"": 1, ""248"": 1, ""3213"": 1, ""169"": 1, ""582"": 1, ""1095"": 1, ""1422"": 1, ""2562"": 1, ""2310"": 1}"	"{""1003"": 24, ""695"": 18, ""1579"": 9, ""2301"": 9, ""1447"": 5, ""1326"": 4, ""1964"": 3, ""1460"": 3, ""3213"": 2, ""582"": 2, ""1612"": 2, ""1422"": 2, ""2506"": 2, ""1637"": 1, ""946"": 1, ""1227"": 1, ""1823"": 1, ""690"": 1, ""1754"": 1, ""258"": 1, ""972"": 1, ""2619"": 1, ""1446"": 1, ""813"": 1, ""1766"": 1, ""1633"": 1, ""613"": 1, ""2316"": 1, ""694"": 1, ""248"": 1, ""1252"": 1, ""169"": 1, ""43"": 1, ""628"": 1, ""1095"": 1, ""1933"": 1, ""1156"": 1, ""1107"": 1, ""369"": 1, ""1550"": 1, ""168"": 1, ""1571"": 1, ""2562"": 1, ""1246"": 1, ""864"": 1, ""2880"": 1, ""1591"": 1, ""2310"": 1}"
3844	CONTEMPT	contempt	"{""1607"": 18, ""1068"": 8, ""2465"": 7, ""82"": 2, ""2715"": 2, ""2469"": 1, ""1292"": 1, ""1485"": 1, ""1"": 1, ""45"": 1, ""2573"": 1, ""2530"": 1, ""1899"": 1, ""216"": 1, ""1440"": 1, ""962"": 1}"	"{""1607"": 20, ""1068"": 16, ""2465"": 14, ""82"": 11, ""2715"": 6, ""1292"": 3, ""2573"": 1, ""1412"": 3, ""962"": 3, ""75"": 2, ""45"": 2, ""1419"": 2, ""1448"": 2, ""861"": 2, ""1062"": 2, ""3915"": 2, ""699"": 2, ""2469"": 1, ""1826"": 1, ""1485"": 1, ""1208"": 1, ""1"": 1, ""13"": 1, ""3845"": 1, ""863"": 1, ""40"": 1, ""1248"": 1, ""1280"": 1, ""3069"": 1, ""1495"": 1, ""610"": 1, ""1884"": 1, ""3960"": 1, ""2530"": 1, ""2821"": 1, ""1899"": 1, ""2553"": 1, ""216"": 1, ""1221"": 1, ""385"": 1, ""1720"": 1, ""1440"": 1, ""1442"": 1, ""2995"": 1, ""1588"": 1, ""430"": 1, ""1803"": 1}"
2213	BODY PART	body part	"{""1673"": 1, ""1297"": 14, ""1277"": 9, ""1531"": 5, ""1256"": 3, ""963"": 1, ""2099"": 1, ""1247"": 1, ""981"": 1, ""1223"": 1, ""683"": 1, ""1371"": 1, ""634"": 1, ""1222"": 1, ""763"": 1, ""819"": 1, ""1205"": 1}"	"{""1673"": 3, ""1297"": 3, ""1256"": 23, ""1277"": 17, ""1531"": 11, ""2667"": 5, ""1248"": 4, ""1223"": 4, ""1221"": 4, ""819"": 4, ""1301"": 3, ""946"": 2, ""1583"": 2, ""1247"": 2, ""1303"": 2, ""1371"": 2, ""674"": 2, ""845"": 2, ""1333"": 2, ""1222"": 2, ""763"": 2, ""1251"": 1, ""963"": 1, ""1402"": 1, ""834"": 1, ""1111"": 1, ""2099"": 1, ""1625"": 1, ""981"": 1, ""3807"": 1, ""1560"": 1, ""2259"": 1, ""1334"": 1, ""683"": 1, ""2947"": 1, ""688"": 1, ""634"": 1, ""1004"": 1, ""1412"": 1, ""1993"": 1, ""2283"": 1, ""1482"": 1, ""2668"": 1, ""1246"": 1, ""2666"": 1, ""1744"": 1, ""1220"": 1, ""709"": 1, ""471"": 1, ""1781"": 1, ""1389"": 1, ""1205"": 1}"
2502	GONG	gong	"{""2246"": 19, ""2879"": 11, ""377"": 5, ""1039"": 5, ""1182"": 4, ""642"": 3, ""908"": 2, ""1369"": 2, ""1665"": 1, ""1481"": 1, ""1261"": 1, ""1096"": 1, ""2995"": 1, ""2968"": 1}"	"{""2246"": 1, ""2879"": 19, ""377"": 11, ""1182"": 8, ""908"": 7, ""642"": 7, ""2244"": 6, ""1039"": 6, ""1833"": 5, ""1361"": 5, ""3373"": 4, ""1481"": 2, ""1433"": 3, ""2897"": 2, ""1825"": 2, ""2816"": 2, ""742"": 2, ""1369"": 2, ""721"": 2, ""1374"": 2, ""1096"": 2, ""2995"": 2, ""1665"": 1, ""2407"": 1, ""680"": 1, ""1349"": 1, ""2467"": 1, ""1254"": 1, ""1210"": 1, ""1526"": 1, ""1395"": 1, ""673"": 1, ""3977"": 1, ""1261"": 1, ""353"": 1, ""3101"": 1, ""1527"": 1, ""2968"": 1, ""930"": 1}"
2570	BEEF	beef	"{""1007"": 26, ""634"": 18, ""1833"": 4, ""1318"": 3, ""256"": 3, ""2769"": 2, ""1237"": 2, ""1639"": 1, ""3044"": 1, ""2409"": 1, ""2408"": 1, ""1730"": 1, ""155"": 1, ""506"": 1, ""1035"": 1, ""606"": 1, ""1831"": 1, ""156"": 1, ""1962"": 1, ""4008"": 1}"	"{""1007"": 61, ""634"": 41, ""256"": 8, ""1833"": 7, ""2769"": 5, ""2408"": 4, ""1318"": 4, ""1962"": 3, ""1813"": 1, ""2409"": 2, ""201"": 2, ""323"": 2, ""227"": 2, ""606"": 2, ""156"": 2, ""4008"": 2, ""1237"": 2, ""3460"": 1, ""1665"": 1, ""1639"": 1, ""3044"": 1, ""1547"": 1, ""1008"": 1, ""1869"": 1, ""1153"": 1, ""1730"": 1, ""155"": 1, ""3642"": 1, ""1100"": 1, ""506"": 1, ""2621"": 1, ""1625"": 1, ""1336"": 1, ""1601"": 1, ""2259"": 1, ""1035"": 1, ""684"": 1, ""2159"": 1, ""1352"": 1, ""1202"": 1, ""720"": 1, ""1831"": 1, ""635"": 1, ""1004"": 1, ""1222"": 1, ""593"": 1, ""209"": 1, ""132"": 1, ""1847"": 1, ""1796"": 1, ""21"": 1, ""1380"": 1}"
811	SOUL	soul	"{""53"": 11, ""1480"": 8, ""1562"": 7, ""661"": 6, ""642"": 5, ""256"": 4, ""1223"": 4, ""900"": 4, ""1175"": 3, ""210"": 3, ""683"": 3, ""163"": 2, ""1944"": 2, ""1349"": 1, ""1520"": 1, ""910"": 1, ""3917"": 1, ""2573"": 1, ""3327"": 1, ""630"": 1, ""392"": 1, ""2090"": 1, ""1468"": 1, ""1381"": 1, ""1263"": 1, ""2666"": 1, ""1232"": 1}"	"{""642"": 21, ""53"": 20, ""1480"": 12, ""1223"": 12, ""1562"": 12, ""256"": 10, ""661"": 9, ""1175"": 8, ""900"": 7, ""1944"": 6, ""163"": 5, ""910"": 5, ""1606"": 5, ""210"": 4, ""1263"": 4, ""1349"": 3, ""1593"": 3, ""1565"": 3, ""683"": 1, ""2573"": 1, ""1429"": 2, ""630"": 2, ""1554"": 2, ""1468"": 2, ""1096"": 2, ""3333"": 1, ""869"": 1, ""1583"": 1, ""989"": 1, ""1520"": 1, ""3917"": 1, ""3069"": 1, ""194"": 1, ""1301"": 1, ""221"": 1, ""1325"": 1, ""1035"": 1, ""3327"": 1, ""1200"": 1, ""1945"": 1, ""2393"": 1, ""3667"": 1, ""923"": 1, ""392"": 1, ""2950"": 1, ""2090"": 1, ""249"": 1, ""3074"": 1, ""1019"": 1, ""2008"": 1, ""1993"": 1, ""1571"": 1, ""1381"": 1, ""2666"": 1, ""713"": 1, ""3957"": 1, ""1232"": 1, ""2277"": 1}"
1242	FEW	few	"{""1198"": 28, ""1246"": 3, ""1241"": 3, ""789"": 2, ""492"": 1, ""1888"": 1, ""1881"": 1, ""1353"": 1, ""2981"": 1, ""1554"": 1, ""1992"": 1, ""2422"": 1, ""174"": 1, ""1400"": 1, ""207"": 1, ""1657"": 1}"	"{""1198"": 3, ""1246"": 14, ""1241"": 10, ""492"": 1, ""207"": 4, ""1888"": 3, ""1992"": 3, ""789"": 3, ""209"": 3, ""1498"": 2, ""2924"": 1, ""3843"": 1, ""1895"": 1, ""1420"": 1, ""1977"": 1, ""1881"": 1, ""1534"": 1, ""777"": 1, ""1500"": 1, ""1035"": 1, ""1353"": 1, ""1533"": 1, ""2981"": 1, ""1554"": 1, ""1216"": 1, ""1356"": 1, ""1493"": 1, ""2422"": 1, ""3002"": 1, ""174"": 1, ""2945"": 1, ""884"": 1, ""1331"": 1, ""1400"": 1, ""2336"": 1, ""785"": 1, ""2308"": 1, ""1657"": 1, ""1363"": 1, ""1601"": 1}"
3384	WEASEL	weasel	"{""619"": 15, ""1490"": 8, ""669"": 5, ""1599"": 5, ""1312"": 3, ""2409"": 2, ""3055"": 2, ""1221"": 2, ""15"": 2, ""3639"": 1, ""163"": 1, ""3215"": 1, ""1441"": 1, ""1907"": 1, ""1491"": 1, ""3676"": 1, ""1400"": 1, ""1628"": 1}"	"{""619"": 26, ""1490"": 17, ""669"": 11, ""2409"": 8, ""1599"": 6, ""1312"": 4, ""580"": 4, ""15"": 4, ""1221"": 3, ""3055"": 2, ""3215"": 2, ""3470"": 2, ""1411"": 2, ""1907"": 2, ""1400"": 1, ""1096"": 2, ""1628"": 2, ""1220"": 2, ""2230"": 2, ""1789"": 1, ""3639"": 1, ""2197"": 1, ""1820"": 1, ""1403"": 1, ""163"": 1, ""1844"": 1, ""1111"": 1, ""25"": 1, ""2507"": 1, ""1905"": 1, ""1615"": 1, ""45"": 1, ""1631"": 1, ""3733"": 1, ""1441"": 1, ""153"": 1, ""3719"": 1, ""1495"": 1, ""1203"": 1, ""1554"": 1, ""1491"": 1, ""642"": 1, ""1229"": 1, ""1136"": 1, ""675"": 1, ""1645"": 1, ""3128"": 1, ""3676"": 1, ""3702"": 1, ""1246"": 1, ""1414"": 1, ""1380"": 1, ""892"": 1, ""3384"": 1, ""1165"": 1, ""1335"": 1, ""420"": 1}"
1217	FATHER	father	"{""1216"": 39, ""1217"": 26, ""1945"": 4, ""1620"": 4, ""1357"": 3, ""1637"": 1, ""1349"": 1, ""1607"": 1, ""1702"": 1, ""1200"": 1, ""1554"": 1, ""2090"": 1, ""385"": 1, ""1363"": 1}"	"{""1216"": 54, ""1217"": 49, ""1262"": 8, ""194"": 8, ""1945"": 8, ""1620"": 7, ""1944"": 5, ""1554"": 5, ""852"": 5, ""1263"": 5, ""1357"": 4, ""1383"": 3, ""923"": 3, ""1553"": 3, ""1637"": 2, ""1289"": 2, ""1202"": 2, ""2099"": 2, ""1229"": 2, ""1669"": 1, ""678"": 1, ""1806"": 1, ""2869"": 1, ""2405"": 1, ""1349"": 1, ""969"": 1, ""1607"": 1, ""1897"": 1, ""3987"": 1, ""1702"": 1, ""1200"": 1, ""2090"": 1, ""486"": 1, ""1559"": 1, ""1165"": 1, ""1801"": 1, ""406"": 1, ""1783"": 1, ""505"": 1, ""2526"": 1, ""2134"": 1, ""385"": 1, ""699"": 1, ""3762"": 1, ""1451"": 1, ""785"": 1, ""3102"": 1, ""892"": 1, ""1363"": 1, ""1232"": 1, ""1270"": 1, ""1207"": 1}"
246	THRUST	thrust	"{""1452"": 20, ""2562"": 8, ""3096"": 5, ""765"": 3, ""1434"": 3, ""1535"": 3, ""1432"": 2, ""1879"": 2, ""2912"": 2, ""1222"": 2, ""2669"": 2, ""945"": 2, ""2622"": 1, ""40"": 1, ""1631"": 1, ""1277"": 1, ""1745"": 1, ""999"": 1, ""1992"": 1, ""131"": 1, ""1597"": 1, ""2526"": 1, ""1295"": 1, ""4022"": 1, ""1591"": 1}"	"{""1452"": 35, ""2562"": 22, ""2912"": 9, ""3096"": 9, ""1535"": 7, ""765"": 6, ""2622"": 5, ""1434"": 5, ""1631"": 1, ""1222"": 3, ""2669"": 3, ""2526"": 3, ""1456"": 3, ""1432"": 2, ""1879"": 2, ""1884"": 2, ""1745"": 2, ""3695"": 2, ""945"": 2, ""1295"": 2, ""1591"": 1, ""1597"": 1, ""1778"": 1, ""1673"": 1, ""1793"": 1, ""1480"": 1, ""1111"": 1, ""1318"": 1, ""1763"": 1, ""1511"": 1, ""40"": 1, ""221"": 1, ""3954"": 1, ""1033"": 1, ""1277"": 1, ""2016"": 1, ""999"": 1, ""1992"": 1, ""212"": 1, ""131"": 1, ""1412"": 1, ""1519"": 1, ""785"": 1, ""4022"": 1, ""2975"": 1, ""2754"": 1, ""3902"": 1, ""948"": 1}"
923	LOVE	love	"{""1223"": 17, ""1607"": 15, ""3954"": 3, ""2432"": 3, ""1213"": 3, ""2099"": 2, ""2524"": 2, ""2301"": 2, ""2562"": 2, ""1289"": 1, ""2573"": 1, ""194"": 1, ""1325"": 1, ""1646"": 1, ""2941"": 1, ""942"": 1, ""3628"": 1, ""1092"": 1, ""928"": 1, ""1200"": 1, ""1209"": 1, ""578"": 1, ""1612"": 1, ""2410"": 1, ""3959"": 1, ""1232"": 1, ""954"": 1, ""1199"": 1, ""962"": 1}"	"{""1223"": 22, ""1607"": 17, ""194"": 15, ""1117"": 8, ""2432"": 8, ""2562"": 8, ""2099"": 6, ""1213"": 6, ""1944"": 5, ""1200"": 5, ""2573"": 1, ""3954"": 4, ""3959"": 4, ""2941"": 3, ""2524"": 3, ""578"": 3, ""1325"": 2, ""1646"": 2, ""942"": 2, ""1092"": 2, ""928"": 2, ""1612"": 2, ""2301"": 2, ""1338"": 2, ""1096"": 2, ""3902"": 2, ""1232"": 2, ""1199"": 2, ""2214"": 1, ""1676"": 1, ""1320"": 1, ""1289"": 1, ""1663"": 1, ""1202"": 1, ""3873"": 1, ""1046"": 1, ""1888"": 1, ""1217"": 1, ""3801"": 1, ""1357"": 1, ""2960"": 1, ""1494"": 1, ""2009"": 1, ""3761"": 1, ""1419"": 1, ""1079"": 1, ""221"": 1, ""1495"": 1, ""136"": 1, ""1120"": 1, ""3628"": 1, ""1209"": 1, ""1579"": 1, ""2233"": 1, ""1216"": 1, ""1880"": 1, ""789"": 1, ""683"": 1, ""3446"": 1, ""2410"": 1, ""1675"": 1, ""156"": 1, ""385"": 1, ""3854"": 1, ""2308"": 1, ""954"": 1, ""962"": 1}"
