CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	R1	R123
2958	LAUGHTER	gelach	"{""1884"": 1, ""674"": 1, ""1355"": 5, ""718"": 1, ""1451"": 1, ""1427"": 1}"	"{""1884"": 1, ""789"": 2, ""718"": 2, ""1232"": 1, ""674"": 6, ""377"": 1, ""1355"": 8, ""1343"": 1, ""1342"": 1, ""715"": 2, ""1030"": 1, ""1495"": 1, ""1451"": 1, ""1427"": 1}"
1641	SILK	zijde	"{""474"": 1, ""1856"": 27, ""850"": 2}"	"{""1856"": 40, ""474"": 2, ""1426"": 5, ""1895"": 2, ""850"": 6, ""963"": 2, ""1019"": 3, ""244"": 3, ""1044"": 1, ""1335"": 2, ""628"": 2, ""1750"": 1, ""809"": 1, ""156"": 1, ""3702"": 1, ""1663"": 1, ""1427"": 3, ""2452"": 1, ""1613"": 1, ""2483"": 1, ""2997"": 1}"
1938	FORTRESS	kasteel	"{""1229"": 1, ""1265"": 1, ""712"": 4, ""1202"": 4, ""948"": 1, ""1489"": 1, ""153"": 1, ""671"": 1, ""1427"": 2}"	"{""1229"": 4, ""1202"": 11, ""1265"": 1, ""712"": 6, ""1524"": 1, ""2001"": 1, ""615"": 2, ""857"": 1, ""1287"": 2, ""948"": 1, ""216"": 2, ""1489"": 1, ""1011"": 1, ""1616"": 1, ""153"": 1, ""2623"": 1, ""962"": 1, ""1639"": 1, ""671"": 1, ""1427"": 3, ""1426"": 1}"
48	BE SILENT	stil	"{""1471"": 1, ""1624"": 1, ""948"": 2, ""1416"": 1, ""377"": 9, ""258"": 4, ""487"": 1, ""1233"": 2, ""905"": 1, ""1629"": 1, ""1856"": 1, ""2099"": 1, ""26"": 1, ""2470"": 1, ""624"": 1, ""1491"": 1}"	"{""1471"": 1, ""1625"": 2, ""687"": 1, ""487"": 2, ""1624"": 1, ""948"": 3, ""1416"": 2, ""1629"": 3, ""377"": 12, ""1518"": 2, ""1585"": 4, ""258"": 15, ""1415"": 3, ""1819"": 1, ""1233"": 7, ""216"": 1, ""1856"": 4, ""996"": 2, ""1884"": 1, ""905"": 1, ""1427"": 3, ""1349"": 3, ""1287"": 1, ""906"": 1, ""2099"": 3, ""1608"": 1, ""1920"": 1, ""1261"": 1, ""26"": 1, ""1474"": 1, ""325"": 1, ""2470"": 1, ""624"": 1, ""789"": 1, ""1491"": 1}"
683	PERSON	persoon	"{""1202"": 1, ""1554"": 6, ""1215"": 1, ""1209"": 10, ""1357"": 1, ""2099"": 1, ""789"": 1, ""1285"": 1, ""1200"": 1, ""1216"": 1}"	"{""1202"": 1, ""1554"": 23, ""962"": 17, ""2099"": 5, ""1215"": 3, ""1209"": 10, ""1357"": 1, ""1285"": 3, ""1216"": 2, ""1217"": 2, ""216"": 1, ""1788"": 1, ""3304"": 1, ""789"": 3, ""194"": 2, ""505"": 1, ""2470"": 2, ""900"": 1, ""1198"": 1, ""1620"": 1, ""1200"": 1, ""1405"": 1, ""619"": 1, ""1263"": 1}"
2949	LAIR	den	"{""906"": 45, ""1493"": 1, ""1265"": 2, ""1803"": 1, ""784"": 1, ""1425"": 3, ""1400"": 1, ""1382"": 2}"	"{""906"": 57, ""1628"": 1, ""1493"": 1, ""1425"": 23, ""1471"": 3, ""1382"": 8, ""606"": 1, ""1265"": 2, ""784"": 4, ""1613"": 1, ""1400"": 4, ""1803"": 1, ""185"": 1, ""1320"": 1}"
1813	TASTY	smakelijk	"{""1336"": 48, ""1775"": 1, ""1427"": 1, ""1030"": 1}"	"{""1775"": 7, ""1336"": 79, ""1355"": 3, ""1401"": 3, ""1427"": 5, ""156"": 1, ""1100"": 4, ""1864"": 4, ""1368"": 1, ""1244"": 1, ""1887"": 1, ""1613"": 1, ""194"": 1, ""1030"": 1, ""3475"": 1}"
825	AWAKE	wakker	"{""1602"": 14, ""1757"": 1, ""1376"": 1, ""1339"": 4, ""1663"": 6, ""630"": 1, ""1233"": 1, ""1585"": 7, ""1299"": 1, ""672"": 3}"	"{""1757"": 5, ""1339"": 12, ""1585"": 22, ""1602"": 26, ""3128"": 1, ""1299"": 12, ""1663"": 20, ""1376"": 1, ""1726"": 1, ""672"": 7, ""1343"": 1, ""630"": 4, ""1225"": 3, ""1233"": 2, ""1908"": 3, ""3620"": 2, ""1920"": 1, ""1861"": 2, ""1336"": 1, ""619"": 1, ""584"": 1, ""701"": 1, ""1298"": 1, ""1373"": 1, ""1409"": 1, ""969"": 1}"
1519	RUN	hardlopen	"{""2458"": 4, ""905"": 2, ""1631"": 5, ""1757"": 5, ""1518"": 1}"	"{""2458"": 8, ""1631"": 9, ""3028"": 1, ""1297"": 1, ""905"": 5, ""1757"": 10, ""673"": 2, ""1400"": 1, ""1280"": 3, ""640"": 2, ""156"": 1, ""1210"": 2, ""1884"": 1, ""1443"": 1, ""418"": 1, ""1424"": 1, ""948"": 1, ""1518"": 1, ""163"": 1, ""900"": 1}"
2410	GOOD-LOOKING	fraai	"{""1427"": 81, ""2470"": 1, ""937"": 2}"	"{""1427"": 86, ""1035"": 7, ""2452"": 4, ""1252"": 2, ""2470"": 5, ""1580"": 1, ""1111"": 1, ""1349"": 1, ""704"": 1, ""962"": 1, ""2099"": 1, ""1826"": 1, ""2997"": 1, ""1560"": 1, ""1895"": 1, ""2530"": 1, ""937"": 2, ""963"": 1, ""1272"": 1, ""683"": 1, ""239"": 1, ""156"": 1, ""174"": 1, ""1207"": 1, ""771"": 1, ""1310"": 1}"
1376	NOW	nu	"{""136"": 6, ""258"": 1, ""1336"": 1, ""1631"": 1, ""1268"": 1, ""699"": 1, ""724"": 1, ""1225"": 1}"	"{""136"": 10, ""3086"": 2, ""2340"": 1, ""971"": 1, ""258"": 1, ""2755"": 1, ""1035"": 1, ""1631"": 3, ""1336"": 3, ""1232"": 1, ""1807"": 3, ""1409"": 1, ""1285"": 3, ""673"": 1, ""1268"": 2, ""1415"": 1, ""2427"": 3, ""699"": 1, ""724"": 1, ""658"": 1, ""1225"": 1, ""1864"": 1, ""3134"": 1}"
96	CRAWL	kruipen	"{""1289"": 37, ""1443"": 1, ""2099"": 3, ""1136"": 1, ""721"": 3, ""640"": 2, ""730"": 1, ""1442"": 1, ""1463"": 1}"	"{""1289"": 55, ""1246"": 3, ""1443"": 4, ""1775"": 1, ""820"": 1, ""730"": 4, ""2099"": 7, ""1301"": 1, ""1136"": 1, ""701"": 1, ""640"": 3, ""1543"": 2, ""721"": 7, ""1522"": 1, ""619"": 1, ""1633"": 1, ""706"": 1, ""3124"": 1, ""1442"": 3, ""1463"": 1, ""504"": 1}"
1221	NOSE	neus	"{""1510"": 1, ""1586"": 9, ""1020"": 6, ""156"": 3, ""1443"": 1, ""1560"": 10, ""1040"": 1, ""297"": 1, ""1244"": 1, ""946"": 4, ""1726"": 1, ""1202"": 2}"	"{""1510"": 1, ""1560"": 17, ""674"": 2, ""1040"": 4, ""1586"": 25, ""1020"": 20, ""946"": 6, ""1898"": 4, ""1202"": 11, ""1857"": 1, ""156"": 9, ""1443"": 1, ""1407"": 3, ""1244"": 6, ""297"": 1, ""1548"": 1, ""1452"": 1, ""1616"": 1, ""1409"": 1, ""418"": 3, ""1287"": 2, ""1246"": 1, ""1726"": 1, ""962"": 1, ""1554"": 1, ""2009"": 1}"
1724	NINETY	negentig	"{""1229"": 36, ""2112"": 2, ""1634"": 5, ""1226"": 7, ""1356"": 11, ""1722"": 2, ""1496"": 3, ""1631"": 1, ""1483"": 1, ""1395"": 1, ""1198"": 2}"	"{""1229"": 57, ""2112"": 7, ""1496"": 6, ""1356"": 23, ""1226"": 13, ""1634"": 9, ""1843"": 1, ""1198"": 11, ""1847"": 1, ""698"": 1, ""1722"": 2, ""1705"": 1, ""1383"": 1, ""701"": 1, ""1625"": 2, ""1242"": 1, ""153"": 2, ""1631"": 1, ""1395"": 3, ""1216"": 1, ""1884"": 1, ""418"": 1, ""1483"": 1, ""1294"": 2, ""1718"": 2, ""1895"": 1, ""1856"": 1, ""962"": 1, ""1420"": 1, ""1721"": 1}"
1011	BRIDGE	brug	"{""948"": 36, ""666"": 11, ""1406"": 1, ""1265"": 3, ""1443"": 1, ""900"": 1, ""1625"": 1, ""1011"": 1, ""667"": 4, ""1111"": 5, ""857"": 1}"	"{""948"": 61, ""666"": 19, ""1844"": 4, ""1406"": 1, ""1265"": 6, ""1443"": 1, ""1111"": 14, ""667"": 8, ""900"": 4, ""1625"": 1, ""1229"": 1, ""1011"": 1, ""857"": 3, ""1593"": 1, ""1829"": 1, ""606"": 1, ""1102"": 1, ""1803"": 1, ""216"": 1, ""1938"": 1}"
1207	YOUNG	jong	"{""1229"": 17, ""2099"": 17, ""1289"": 3, ""1646"": 4, ""1231"": 2, ""1246"": 3, ""672"": 1, ""1427"": 3, ""1861"": 2}"	"{""1229"": 18, ""2099"": 30, ""1427"": 11, ""937"": 2, ""673"": 5, ""1495"": 1, ""1289"": 7, ""1223"": 1, ""1646"": 4, ""1231"": 3, ""1246"": 4, ""672"": 2, ""3124"": 3, ""2427"": 7, ""785"": 1, ""1569"": 1, ""3053"": 1, ""1136"": 1, ""1861"": 4, ""820"": 2, ""1208"": 1, ""1425"": 1, ""619"": 3, ""203"": 1, ""1631"": 1, ""3702"": 1}"
1223	HEART	hart	"{""2396"": 5, ""110"": 2, ""156"": 14, ""946"": 9, ""1311"": 1, ""1129"": 1}"	"{""2396"": 17, ""156"": 34, ""946"": 28, ""1232"": 3, ""1311"": 2, ""1954"": 1, ""1422"": 1, ""110"": 4, ""1030"": 1, ""1285"": 4, ""1427"": 1, ""3231"": 1, ""2470"": 1, ""1689"": 1, ""1129"": 1, ""1847"": 1, ""1592"": 1, ""634"": 1, ""923"": 1}"
176	BLOW (WITH MOUTH)	blazen	"{""1273"": 3, ""1757"": 2, ""3133"": 10, ""1507"": 1, ""778"": 2, ""1856"": 1, ""3083"": 9, ""1730"": 1, ""674"": 2, ""2246"": 2, ""604"": 1, ""1232"": 5, ""777"": 1, ""3124"": 1}"	"{""787"": 1, ""3083"": 18, ""1463"": 1, ""674"": 6, ""1287"": 3, ""1273"": 8, ""1757"": 5, ""1232"": 20, ""3133"": 11, ""1507"": 1, ""948"": 1, ""778"": 2, ""1856"": 1, ""2303"": 1, ""1247"": 1, ""630"": 1, ""1730"": 1, ""1256"": 1, ""1847"": 1, ""2246"": 3, ""777"": 3, ""604"": 2, ""1342"": 1, ""1286"": 1, ""696"": 1, ""221"": 1, ""1971"": 2, ""1689"": 1, ""219"": 1, ""1884"": 1, ""3124"": 1, ""1025"": 1, ""1443"": 1, ""1407"": 1}"
943	WATERFALL	waterval	"{""1427"": 7, ""948"": 25, ""1265"": 2, ""2638"": 1, ""1726"": 3, ""1408"": 1, ""639"": 2, ""614"": 1, ""1474"": 1, ""1856"": 1, ""624"": 1}"	"{""1427"": 16, ""1726"": 8, ""948"": 32, ""1287"": 4, ""2548"": 1, ""1265"": 7, ""666"": 4, ""592"": 1, ""1439"": 3, ""1631"": 1, ""1280"": 1, ""2638"": 1, ""1820"": 1, ""227"": 1, ""639"": 3, ""1844"": 1, ""1343"": 2, ""1408"": 1, ""1377"": 1, ""837"": 2, ""614"": 1, ""1474"": 1, ""1856"": 1, ""1733"": 1, ""1425"": 2, ""3304"": 1, ""624"": 1}"
1336	EAT	eten	"{""1401"": 7, ""1864"": 11, ""1198"": 2, ""1320"": 2, ""634"": 3, ""1232"": 1, ""1244"": 2, ""1100"": 4, ""1629"": 1, ""1807"": 1, ""1030"": 1, ""1368"": 1, ""868"": 1}"	"{""1401"": 16, ""593"": 1, ""1368"": 3, ""1030"": 3, ""1775"": 4, ""1100"": 12, ""1864"": 25, ""1230"": 1, ""1429"": 1, ""1198"": 4, ""1336"": 1, ""1320"": 2, ""243"": 1, ""634"": 4, ""1232"": 2, ""1287"": 1, ""4008"": 2, ""1302"": 2, ""1352"": 1, ""2843"": 1, ""819"": 1, ""1629"": 2, ""1631"": 2, ""1813"": 1, ""1244"": 4, ""323"": 1, ""1507"": 2, ""1807"": 2, ""1007"": 1, ""1881"": 1, ""847"": 1, ""868"": 1, ""1237"": 1}"
3858	CONFUSED	verward	"{""1229"": 1, ""1256"": 2, ""683"": 1, ""1236"": 1, ""1847"": 2, ""1309"": 1, ""757"": 1, ""1518"": 1, ""600"": 3, ""487"": 1, ""1240"": 1, ""1757"": 2, ""3761"": 1, ""1040"": 1, ""1419"": 1, ""537"": 1}"	"{""153"": 1, ""1229"": 5, ""1847"": 3, ""1496"": 1, ""1601"": 1, ""1256"": 6, ""1419"": 2, ""1518"": 2, ""683"": 1, ""1236"": 1, ""1239"": 1, ""1468"": 2, ""1309"": 2, ""757"": 2, ""1040"": 4, ""600"": 3, ""487"": 1, ""1757"": 4, ""1646"": 1, ""1624"": 1, ""699"": 1, ""1240"": 1, ""1237"": 1, ""1463"": 2, ""3761"": 1, ""964"": 1, ""1310"": 1, ""3625"": 1, ""686"": 1, ""1415"": 1, ""584"": 1, ""537"": 2, ""1899"": 1, ""2112"": 1}"
258	CALM	kalm	"{""48"": 1, ""3884"": 1, ""1856"": 1, ""1585"": 1, ""1474"": 1, ""724"": 1}"	"{""48"": 15, ""2099"": 1, ""1342"": 1, ""1407"": 3, ""2758"": 1, ""837"": 2, ""496"": 1, ""1474"": 18, ""1233"": 1, ""948"": 1, ""258"": 1, ""3884"": 3, ""944"": 1, ""1585"": 2, ""701"": 3, ""69"": 1, ""1415"": 1, ""1856"": 3, ""3620"": 1, ""683"": 1, ""1216"": 1, ""1625"": 1, ""666"": 1, ""1256"": 1, ""1289"": 1, ""1608"": 1, ""509"": 1, ""724"": 1}"
1267	NARROW	smal	"{""2308"": 36, ""2531"": 12, ""1400"": 2, ""1244"": 2, ""962"": 1, ""1246"": 5, ""1011"": 1, ""1895"": 1}"	"{""2308"": 53, ""1246"": 13, ""2531"": 19, ""418"": 6, ""1400"": 22, ""641"": 1, ""1243"": 1, ""906"": 1, ""1244"": 7, ""1895"": 2, ""628"": 1, ""667"": 3, ""962"": 2, ""3053"": 2, ""1011"": 1, ""1242"": 1, ""809"": 1, ""666"": 1, ""1427"": 1, ""163"": 1, ""584"": 1, ""1633"": 1}"
2579	TOOTHBRUSH	tandenborstel	"{""704"": 2, ""1602"": 1, ""1171"": 1, ""1884"": 1, ""674"": 1}"	"{""1602"": 3, ""704"": 6, ""948"": 4, ""1171"": 3, ""1585"": 1, ""1335"": 9, ""156"": 2, ""1867"": 5, ""1339"": 4, ""1040"": 2, ""975"": 1, ""2099"": 1, ""1884"": 1, ""1425"": 1, ""674"": 1, ""1453"": 1, ""1147"": 1}"
1476	CHAIR	stoel	"{""1416"": 42, ""1775"": 20, ""1803"": 2, ""1335"": 2, ""2058"": 1, ""2409"": 1, ""1404"": 1, ""3099"": 1}"	"{""1416"": 68, ""1803"": 19, ""1775"": 40, ""1500"": 2, ""1620"": 1, ""2058"": 3, ""1884"": 4, ""1404"": 2, ""156"": 1, ""1336"": 6, ""1335"": 2, ""3101"": 1, ""1426"": 1, ""216"": 1, ""2409"": 3, ""1623"": 1, ""1044"": 2, ""1229"": 1, ""1280"": 1, ""504"": 1, ""625"": 1, ""1757"": 1, ""1856"": 1, ""3099"": 1, ""673"": 1, ""641"": 1}"
1204	BARK	schors	"{""906"": 76, ""1803"": 2, ""1923"": 3, ""2409"": 1}"	"{""906"": 87, ""1923"": 19, ""2409"": 15, ""1398"": 1, ""1803"": 11, ""1425"": 3, ""658"": 1, ""1628"": 1, ""706"": 1, ""1884"": 5, ""641"": 1, ""1424"": 1, ""1427"": 1, ""2998"": 1, ""1586"": 1, ""1229"": 1}"
985	VINEGAR	azijn	"{""887"": 3, ""1906"": 55, ""1230"": 2, ""704"": 1, ""1321"": 3, ""1484"": 6, ""1560"": 1, ""58"": 1, ""1524"": 1, ""1292"": 1, ""1385"": 1}"	"{""887"": 5, ""1906"": 71, ""1335"": 3, ""2540"": 3, ""1856"": 1, ""1342"": 1, ""1336"": 5, ""1230"": 3, ""3091"": 2, ""704"": 1, ""1321"": 7, ""837"": 1, ""1524"": 5, ""1613"": 1, ""1484"": 9, ""819"": 1, ""986"": 1, ""1453"": 1, ""1375"": 2, ""1560"": 1, ""58"": 2, ""948"": 2, ""1424"": 2, ""1100"": 2, ""1292"": 4, ""1586"": 1, ""604"": 1, ""991"": 1, ""1385"": 1}"
1404	STRAIGHT	recht	"{""297"": 22, ""1295"": 1, ""667"": 1, ""789"": 1, ""905"": 3, ""1019"": 1, ""3075"": 4, ""1277"": 1, ""673"": 1}"	"{""297"": 35, ""667"": 3, ""1295"": 1, ""3075"": 7, ""1463"": 1, ""584"": 3, ""1292"": 1, ""905"": 8, ""789"": 1, ""1198"": 2, ""1019"": 1, ""1567"": 1, ""1273"": 1, ""3053"": 2, ""1398"": 1, ""963"": 1, ""1120"": 3, ""1267"": 1, ""1277"": 1, ""1750"": 1, ""1458"": 1, ""1309"": 1, ""673"": 1, ""1570"": 1}"
3093	LIPSTICK	lippenstift	"{""962"": 16, ""156"": 43, ""674"": 2, ""604"": 1, ""1427"": 2, ""1613"": 1, ""163"": 1, ""1560"": 1, ""1646"": 1, ""1471"": 1}"	"{""962"": 35, ""156"": 66, ""1427"": 11, ""2449"": 6, ""1342"": 1, ""1171"": 1, ""674"": 7, ""1856"": 2, ""604"": 4, ""1613"": 4, ""771"": 1, ""1044"": 3, ""1424"": 1, ""3446"": 1, ""163"": 1, ""2578"": 1, ""578"": 1, ""1560"": 1, ""1646"": 1, ""1471"": 1, ""1030"": 1}"
699	SAD	ongelukkig	"{""1673"": 3, ""1625"": 1, ""1209"": 2, ""48"": 1, ""145"": 5, ""1560"": 1, ""1552"": 1, ""699"": 11, ""1216"": 1, ""1839"": 1, ""1292"": 1, ""1270"": 1, ""1847"": 1, ""1495"": 2, ""1229"": 1, ""1240"": 1}"	"{""1673"": 4, ""1847"": 3, ""1625"": 2, ""145"": 10, ""1020"": 1, ""1209"": 4, ""48"": 1, ""699"": 15, ""1560"": 1, ""1292"": 2, ""1552"": 3, ""1471"": 2, ""706"": 1, ""1216"": 1, ""1839"": 7, ""1270"": 1, ""1689"": 1, ""1495"": 4, ""163"": 1, ""1826"": 1, ""153"": 1, ""1624"": 1, ""1229"": 1, ""1240"": 1}"
1579	BE	bestaand	"{""1422"": 6, ""1252"": 3, ""1229"": 4, ""1376"": 2, ""1824"": 1, ""1035"": 1, ""1237"": 1, ""2805"": 1, ""1938"": 1}"	"{""686"": 2, ""1422"": 15, ""1228"": 1, ""1252"": 7, ""1231"": 1, ""1209"": 3, ""1229"": 7, ""1298"": 1, ""1237"": 4, ""509"": 1, ""1376"": 6, ""136"": 2, ""724"": 1, ""1824"": 1, ""1868"": 1, ""1035"": 1, ""2805"": 1, ""1625"": 1, ""619"": 1, ""1938"": 1, ""789"": 2}"
3004	FORMER	voormalig	"{""1229"": 4, ""1200"": 1}"	"{""1229"": 14, ""2470"": 1, ""1554"": 1, ""1336"": 1, ""1200"": 3, ""1252"": 1, ""1625"": 1, ""667"": 1, ""1383"": 1}"
3103	TENNIS BALL	tennisbal	"{""1395"": 15, ""3124"": 2, ""1424"": 16, ""1335"": 2, ""2009"": 1, ""3103"": 1, ""1845"": 1}"	"{""1424"": 43, ""1246"": 2, ""1395"": 23, ""1335"": 3, ""3124"": 4, ""658"": 2, ""1856"": 1, ""3306"": 2, ""667"": 1, ""1425"": 1, ""1884"": 5, ""1788"": 1, ""3096"": 2, ""2009"": 2, ""3103"": 1, ""1895"": 1, ""1342"": 2, ""1443"": 1, ""1845"": 1, ""1208"": 1}"
297	CROOKED	krom	"{""1404"": 22, ""868"": 24, ""906"": 1, ""1633"": 1, ""1069"": 1, ""1726"": 1, ""3075"": 2, ""1221"": 2, ""1229"": 1}"	"{""1404"": 40, ""3075"": 5, ""868"": 48, ""1548"": 1, ""1221"": 7, ""1443"": 1, ""1229"": 4, ""906"": 2, ""1295"": 1, ""986"": 1, ""1476"": 1, ""1673"": 1, ""1633"": 1, ""706"": 1, ""1395"": 3, ""1535"": 1, ""1355"": 1, ""1069"": 1, ""1292"": 1, ""1252"": 1, ""588"": 1, ""1181"": 1, ""1726"": 1, ""667"": 1, ""2578"": 1, ""1463"": 1, ""1390"": 1}"
1288	CAP	muts	"{""1471"": 19, ""1232"": 24, ""1287"": 12, ""1256"": 10, ""784"": 4, ""964"": 1, ""156"": 1, ""153"": 1}"	"{""1471"": 52, ""784"": 25, ""1287"": 27, ""1232"": 41, ""964"": 21, ""1856"": 1, ""1256"": 14, ""2991"": 1, ""1425"": 1, ""2905"": 1, ""156"": 1, ""153"": 2, ""1040"": 1}"
1971	FAN (OBJECT)	ventilator	"{""1232"": 16, ""1343"": 1, ""1342"": 5, ""2483"": 2, ""1395"": 1, ""176"": 2, ""1287"": 3}"	"{""1597"": 2, ""1232"": 27, ""1343"": 1, ""3086"": 3, ""1342"": 16, ""1287"": 6, ""176"": 5, ""837"": 1, ""2483"": 5, ""2580"": 1, ""1824"": 1, ""1395"": 2, ""1335"": 8, ""1631"": 1, ""1111"": 1, ""704"": 1, ""504"": 1, ""3982"": 1, ""1496"": 1, ""2458"": 1, ""59"": 1, ""219"": 1}"
1198	MANY	talrijk	"{""1198"": 83, ""789"": 2}"	"{""1198"": 88, ""1202"": 5, ""1881"": 2, ""1242"": 2, ""789"": 14, ""1474"": 1, ""1420"": 1, ""1285"": 1, ""1429"": 1, ""1246"": 1, ""673"": 1, ""1673"": 1}"
1356	NUMBER	getal	"{""1843"": 1, ""1493"": 8, ""1498"": 2, ""1704"": 2, ""1356"": 1, ""1515"": 2, ""1483"": 1}"	"{""1294"": 2, ""1242"": 1, ""1395"": 1, ""1843"": 1, ""492"": 11, ""1420"": 6, ""673"": 2, ""1493"": 8, ""1498"": 7, ""1379"": 1, ""1500"": 2, ""1634"": 1, ""1704"": 6, ""1515"": 6, ""1356"": 1, ""1285"": 1, ""1202"": 1, ""3095"": 1, ""1198"": 1, ""1702"": 1, ""1483"": 1, ""1703"": 1}"
3711	TIE (NOUN)	stropdas	"{""3711"": 2, ""1791"": 2, ""1554"": 2, ""1622"": 1, ""1200"": 1, ""3053"": 1, ""1333"": 1, ""3757"": 1, ""905"": 1, ""1548"": 1, ""1427"": 1}"	"{""1554"": 13, ""3711"": 2, ""1622"": 3, ""1427"": 4, ""757"": 7, ""1791"": 2, ""156"": 1, ""1229"": 1, ""1217"": 1, ""1200"": 1, ""584"": 1, ""1775"": 1, ""163"": 1, ""3053"": 3, ""1333"": 1, ""2997"": 1, ""3757"": 1, ""905"": 1, ""1424"": 1, ""1548"": 1, ""699"": 1, ""3118"": 1}"
1313	MOON	maan	"{""1343"": 20, ""706"": 3, ""1335"": 5, ""1424"": 7, ""1233"": 27, ""630"": 2, ""522"": 1, ""1430"": 3, ""1395"": 5, ""816"": 1, ""1406"": 2, ""1228"": 2, ""1429"": 1}"	"{""1343"": 30, ""1424"": 16, ""1233"": 44, ""706"": 10, ""522"": 3, ""1335"": 6, ""1395"": 15, ""630"": 15, ""1202"": 2, ""1430"": 12, ""906"": 1, ""1287"": 1, ""1427"": 1, ""816"": 3, ""1585"": 2, ""1406"": 6, ""1228"": 3, ""1429"": 4, ""2303"": 1, ""1489"": 1, ""1316"": 1}"
496	CUCUMBER	komkommer	"{""1425"": 52, ""418"": 4, ""1342"": 2, ""986"": 3, ""1336"": 2, ""868"": 1}"	"{""1425"": 79, ""418"": 29, ""1313"": 1, ""1342"": 6, ""1287"": 5, ""297"": 2, ""1569"": 2, ""1352"": 2, ""948"": 3, ""1404"": 1, ""986"": 5, ""1336"": 9, ""868"": 3, ""1959"": 2, ""977"": 1, ""1906"": 1, ""1292"": 1, ""1230"": 1, ""3545"": 1, ""1537"": 3, ""1368"": 1, ""1202"": 2}"
275	PEEL	schillen	"{""593"": 23, ""1320"": 27, ""1352"": 2, ""3091"": 1, ""1507"": 4, ""1432"": 1, ""868"": 2, ""1336"": 1, ""2627"": 2}"	"{""593"": 36, ""1352"": 29, ""1320"": 44, ""3085"": 2, ""868"": 6, ""1456"": 1, ""922"": 4, ""1507"": 15, ""1496"": 1, ""1471"": 1, ""3091"": 1, ""2627"": 5, ""1432"": 1, ""2409"": 1, ""1100"": 4, ""1336"": 5, ""1569"": 1}"
1613	COLOR	kleur	"{""156"": 34, ""1424"": 6, ""837"": 21, ""3446"": 1, ""1733"": 5, ""2452"": 2, ""1425"": 7, ""163"": 7, ""2578"": 1, ""630"": 2, ""1427"": 1, ""3328"": 1}"	"{""156"": 51, ""1424"": 29, ""1425"": 33, ""837"": 46, ""3328"": 5, ""3446"": 2, ""1733"": 12, ""2452"": 5, ""1427"": 7, ""1335"": 8, ""1343"": 5, ""647"": 4, ""163"": 11, ""4035"": 1, ""2623"": 1, ""1342"": 3, ""2578"": 1, ""1537"": 1, ""2409"": 3, ""630"": 3, ""2997"": 1, ""1898"": 1, ""1474"": 1, ""1248"": 1, ""794"": 1, ""1730"": 1, ""153"": 3, ""658"": 1, ""1228"": 1, ""3752"": 1, ""1895"": 2, ""706"": 1, ""3122"": 1, ""1548"": 1, ""1232"": 1}"
2329	LACK (NOT HAVE)	barsten	"{""604"": 2, ""906"": 1, ""588"": 7, ""1804"": 1, ""1803"": 1, ""3625"": 2, ""715"": 1, ""744"": 1, ""1735"": 4, ""1507"": 1, ""857"": 1, ""1398"": 1}"	"{""604"": 6, ""1803"": 4, ""906"": 1, ""588"": 18, ""1228"": 2, ""1735"": 9, ""45"": 1, ""857"": 3, ""1280"": 3, ""1069"": 2, ""3625"": 7, ""1804"": 1, ""1301"": 1, ""2303"": 1, ""1251"": 1, ""715"": 1, ""1274"": 1, ""744"": 2, ""1256"": 1, ""3112"": 1, ""3634"": 1, ""648"": 1, ""1229"": 1, ""26"": 1, ""1507"": 1, ""1252"": 1, ""1398"": 1}"
1585	SLEEP	slapen	"{""1030"": 1, ""1663"": 48, ""1920"": 9, ""1757"": 8, ""1233"": 6, ""1336"": 1, ""1427"": 2, ""1856"": 1, ""1232"": 1, ""1044"": 4}"	"{""1030"": 1, ""1663"": 65, ""1856"": 4, ""1920"": 24, ""1757"": 21, ""1232"": 9, ""1044"": 22, ""1233"": 22, ""1602"": 2, ""706"": 4, ""1336"": 1, ""1427"": 2, ""418"": 4, ""806"": 3, ""584"": 1, ""2470"": 1, ""163"": 1, ""1564"": 1}"
3755	MOUNTAINOUS	bergachtig	"{""614"": 4, ""1147"": 1, ""1265"": 2, ""1102"": 2, ""639"": 1, ""2717"": 2, ""784"": 2, ""1427"": 1, ""1592"": 1}"	"{""1102"": 5, ""784"": 15, ""614"": 5, ""639"": 3, ""1923"": 2, ""1147"": 1, ""1265"": 7, ""2717"": 3, ""1427"": 3, ""1425"": 4, ""721"": 1, ""2991"": 1, ""1343"": 1, ""1210"": 1, ""1757"": 2, ""372"": 1, ""584"": 1, ""153"": 1, ""624"": 1, ""943"": 1, ""1592"": 1}"
3100	SUNGLASSES	zonnebril	"{""1343"": 36, ""1898"": 3, ""604"": 2, ""163"": 6, ""706"": 7, ""1342"": 10, ""1232"": 3, ""1111"": 1, ""1286"": 1, ""1202"": 1, ""2340"": 1, ""2409"": 2, ""1427"": 1}"	"{""1343"": 57, ""1898"": 6, ""1111"": 10, ""706"": 19, ""741"": 3, ""630"": 5, ""1342"": 24, ""604"": 4, ""163"": 12, ""1221"": 1, ""671"": 1, ""1232"": 9, ""1427"": 2, ""1286"": 1, ""2409"": 4, ""948"": 1, ""1474"": 4, ""1202"": 3, ""667"": 1, ""1613"": 1, ""2340"": 1, ""1171"": 1, ""1198"": 1, ""1824"": 1, ""1425"": 1}"
