CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	R1	R123
100	FAITHFUL	trouw	"{""1035"": 1, ""1200"": 4, ""1554"": 3, ""2009"": 4, ""1120"": 7, ""203"": 2, ""1427"": 1, ""1285"": 1}"	"{""1427"": 2, ""1035"": 3, ""1200"": 4, ""2009"": 18, ""1554"": 8, ""962"": 3, ""474"": 1, ""584"": 2, ""1120"": 13, ""1349"": 4, ""203"": 4, ""2099"": 1, ""1285"": 2, ""1620"": 1, ""923"": 1, ""785"": 1, ""3230"": 1, ""1627"": 1, ""1335"": 2, ""3762"": 1}"
58	LIQUID	vloeistof	"{""948"": 58, ""1484"": 1, ""1401"": 15, ""635"": 1, ""1726"": 2, ""1804"": 1}"	"{""948"": 84, ""1453"": 2, ""2643"": 1, ""1401"": 34, ""1639"": 3, ""1726"": 13, ""635"": 7, ""1484"": 2, ""1439"": 6, ""1321"": 5, ""1474"": 1, ""604"": 4, ""847"": 6, ""2344"": 2, ""658"": 3, ""1299"": 1, ""3754"": 3, ""1613"": 1, ""666"": 1, ""1030"": 1, ""3545"": 1, ""1373"": 1, ""1487"": 1, ""1524"": 3, ""1804"": 1, ""2334"": 1, ""837"": 1, ""1287"": 1, ""3130"": 1}"
1040	HAIR	haar	"{""163"": 2, ""1432"": 1, ""1220"": 1, ""418"": 11, ""1475"": 3, ""2409"": 5, ""647"": 2, ""1252"": 1, ""1256"": 6, ""1427"": 2, ""1726"": 1, ""1613"": 3, ""1453"": 3, ""3085"": 1, ""2070"": 1, ""1821"": 3, ""1645"": 2, ""1125"": 3, ""1646"": 1, ""156"": 1, ""1845"": 1}"	"{""163"": 3, ""1432"": 5, ""2409"": 12, ""1220"": 5, ""418"": 23, ""1256"": 8, ""1475"": 4, ""356"": 4, ""1645"": 8, ""647"": 3, ""1252"": 1, ""1232"": 1, ""1427"": 8, ""1726"": 1, ""1616"": 1, ""2070"": 3, ""962"": 2, ""323"": 1, ""1613"": 5, ""1453"": 5, ""231"": 2, ""2969"": 1, ""1821"": 8, ""3085"": 2, ""763"": 2, ""2449"": 1, ""1404"": 1, ""774"": 1, ""588"": 1, ""1125"": 3, ""156"": 3, ""1646"": 3, ""1267"": 1, ""1856"": 1, ""1245"": 1, ""1845"": 1}"
1006	BRICK	baksteen	"{""1280"": 1, ""156"": 12, ""819"": 6, ""1252"": 48, ""1884"": 3, ""1399"": 3, ""1088"": 1, ""1840"": 2, ""857"": 1}"	"{""1280"": 2, ""1252"": 77, ""857"": 3, ""156"": 32, ""819"": 16, ""1884"": 11, ""1904"": 1, ""906"": 4, ""991"": 3, ""1427"": 2, ""1399"": 6, ""1840"": 5, ""1287"": 1, ""1210"": 3, ""1088"": 1, ""1286"": 1, ""1613"": 2, ""785"": 3, ""3328"": 1, ""850"": 1, ""1426"": 1, ""1198"": 1, ""1228"": 1, ""712"": 1, ""948"": 1}"
2630	WHIP	zweep	"{""615"": 22, ""3306"": 2, ""629"": 3, ""163"": 2, ""846"": 1, ""340"": 2, ""1548"": 1}"	"{""615"": 45, ""629"": 12, ""163"": 12, ""3306"": 8, ""367"": 3, ""340"": 5, ""156"": 2, ""706"": 1, ""1884"": 4, ""1129"": 2, ""1220"": 1, ""3110"": 1, ""846"": 1, ""1007"": 1, ""1554"": 1, ""962"": 1, ""1824"": 1, ""1453"": 1, ""504"": 1, ""946"": 1, ""906"": 1, ""1548"": 1, ""1030"": 1}"
946	BLOOD	bloed	"{""156"": 40, ""1232"": 1, ""1221"": 1, ""1230"": 2, ""1352"": 1, ""837"": 1, ""1263"": 1, ""1223"": 1}"	"{""156"": 59, ""1232"": 3, ""1198"": 2, ""1352"": 4, ""1221"": 1, ""1277"": 1, ""1625"": 9, ""1223"": 2, ""1230"": 4, ""216"": 1, ""634"": 1, ""837"": 1, ""1263"": 1, ""194"": 1, ""1274"": 1, ""986"": 1, ""1847"": 1}"
26	UNPLEASANT	onaangenaam	"{""1518"": 4, ""1230"": 5, ""145"": 1, ""1287"": 2, ""658"": 2, ""699"": 1, ""1548"": 1, ""887"": 1, ""1292"": 2, ""905"": 1}"	"{""1518"": 6, ""1292"": 6, ""658"": 4, ""1572"": 1, ""584"": 2, ""778"": 1, ""706"": 1, ""946"": 1, ""3118"": 1, ""1548"": 4, ""377"": 1, ""1230"": 14, ""1287"": 10, ""1726"": 2, ""1847"": 3, ""145"": 1, ""1129"": 1, ""249"": 2, ""1826"": 1, ""905"": 5, ""699"": 1, ""2483"": 1, ""887"": 1, ""1471"": 1}"
1472	KEY	sleutel	"{""1567"": 43, ""3235"": 1, ""1252"": 6, ""1223"": 1, ""1111"": 1}"	"{""1567"": 70, ""1252"": 20, ""3235"": 5, ""1223"": 3, ""809"": 1, ""1111"": 10, ""1884"": 1, ""1297"": 1, ""3106"": 1, ""1156"": 4}"
1908	ATTENTIVE	aandachtig	"{""1608"": 10, ""686"": 1, ""1035"": 1, ""1415"": 1, ""724"": 2, ""673"": 2, ""1310"": 2, ""48"": 2, ""1247"": 1, ""825"": 1, ""3053"": 1, ""963"": 1}"	"{""1608"": 24, ""1757"": 1, ""2758"": 2, ""584"": 1, ""1406"": 1, ""686"": 1, ""724"": 7, ""673"": 5, ""1035"": 2, ""1232"": 1, ""1861"": 1, ""1310"": 3, ""785"": 1, ""1415"": 3, ""825"": 4, ""1285"": 3, ""2530"": 1, ""1256"": 1, ""48"": 4, ""707"": 1, ""1299"": 1, ""1247"": 1, ""625"": 1, ""1251"": 1, ""1819"": 2, ""1466"": 1, ""1349"": 1, ""1240"": 1, ""1409"": 1, ""1620"": 1, ""3053"": 1, ""741"": 1, ""504"": 1, ""1784"": 1, ""963"": 1}"
2821	JEALOUS	jaloers	"{""962"": 6, ""1209"": 2, ""1554"": 3, ""1292"": 2, ""45"": 2, ""1200"": 1, ""1518"": 2, ""1847"": 1, ""156"": 2, ""1207"": 1, ""699"": 1, ""1425"": 3, ""1826"": 2}"	"{""962"": 8, ""1554"": 7, ""1209"": 2, ""1646"": 2, ""1252"": 1, ""1518"": 6, ""789"": 1, ""1292"": 4, ""100"": 1, ""45"": 5, ""1044"": 1, ""584"": 2, ""26"": 2, ""1847"": 3, ""1548"": 2, ""1390"": 1, ""1200"": 1, ""2099"": 1, ""1826"": 3, ""3230"": 1, ""1400"": 1, ""699"": 2, ""156"": 3, ""1207"": 1, ""1425"": 3, ""1270"": 1, ""145"": 1, ""712"": 1, ""216"": 1, ""1129"": 1}"
